edge_id,from,to
E_S_001,PERSON_HUGH_CAPET,PERSON_ROBERT_II
E_S_002,PERSON_ROBERT_II,PERSON_HENRY_I_FR
E_S_003,PERSON_HENRY_I_FR,PERSON_PHILIP_I
E_S_004,PERSON_PHILIP_I,PERSON_LOUIS_VI
E_S_005,PERSON_LOUIS_VI,PERSON_LOUIS_VII
E_S_006,PERSON_LOUIS_VII,PERSON_PHILIP_II_FR
E_S_007,PERSON_PHILIP_II_FR,PERSON_LOUIS_VIII
E_S_008,PERSON_LOUIS_VIII,PERSON_LOUIS_IX
E_S_009,PERSON_LOUIS_IX,PERSON_PHILIP_III
E_S_010,PERSON_PHILIP_III,PERSON_PHILIP_IV
E_S_011,PERSON_PHILIP_IV,PERSON_LOUIS_X
E_S_012,PERSON_LOUIS_X,PERSON_PHILIP_V
E_S_013,PERSON_PHILIP_V,PERSON_CHARLES_IV
E_S_014,PERSON_CHARLES_IV,PERSON_PHILIP_VI

E_S_015,PERSON_WILLIAM_I,PERSON_WILLIAM_II
E_S_016,PERSON_WILLIAM_II,PERSON_HENRY_I_EN
E_S_017,PERSON_HENRY_I_EN,PERSON_STEVEN
E_S_018,PERSON_STEVEN,PERSON_HENRY_II_EN
E_S_019,PERSON_HENRY_II_EN,PERSON_RICHARD_I
E_S_020,PERSON_RICHARD_I,PERSON_JOHN
E_S_021,PERSON_JOHN,PERSON_HENRY_III_EN
E_S_022,PERSON_HENRY_III_EN,PERSON_EDWARD_I
E_S_023,PERSON_EDWARD_I,PERSON_EDWARD_II
E_S_024,PERSON_EDWARD_II,PERSON_EDWARD_III
E_S_025,PERSON_EDWARD_III,PERSON_RICHARD_II
E_S_026,PERSON_RICHARD_II,PERSON_HENRY_IV
E_S_027,PERSON_HENRY_IV,PERSON_HENRY_V
E_S_028,PERSON_HENRY_V,PERSON_HENRY_VI
E_S_029,PERSON_HENRY_VI,PERSON_EDWARD_IV
E_S_030,PERSON_EDWARD_IV,PERSON_RICHARD_III
E_S_031,PERSON_RICHARD_III,PERSON_HENRY_VII
